8bef979ad8272cbc2903970f4b9992f603d50973,Bob Ippolito,2020-12-29,Merge pull request #273 from timgates42/bugfix_typo_precedence
1c5b3a19c258ada99f60d35878428eff0a655136,Tim Gates,2020-12-29,docs: fix simple typo, precendence -> precedence
cad8305713c007864aaf556bf0cfa48823aed3ab,Bob Ippolito,2020-12-18,Merge pull request #271 from cclauss/patch-1
c28666f98ae3fb7939e2d3c3e98a12d5a631a1be,Christian Clauss,2020-12-18,Travis CI: Add Python 3.9 to the testing
c51668542b406c5aadb052a1513245307cc8b014,Bob Ippolito,2020-07-16,v3.17.2
b84486a2ada6c20f7752d40e7a699e6814460b20,Bob Ippolito,2020-07-16,Add manylinux wheels back for amd64
540950455a6c1c7d8e7a59d695308c8b62c5413a,Bob Ippolito,2020-07-16,v3.17.1
d420ed2a927ee51167f89d254ad534e718bf1ff6,Bob Ippolito,2020-07-16,Merge pull request #264 from odidev/arm_support
c6ce62b3b5b05dccd1bb54756c970340fa4e0c6c,odidev,2020-07-15,Added arm64 support in travis-ci
aedb7c96eeadea8bee77f4e1f8d25f3728da0fb7,Bob Ippolito,2020-04-17,Resolves #261, improve README grammar
288e4e005c39a2eb855b5225c5dc8ebcb82eee72,Bob Ippolito,2020-03-14,Merge pull request #260 from simplejson/pep-0527
0c46bf7a3f3c1f719bcfaa8a470e2363feb6632b,Bob Ippolito,2020-03-14,Update travis matrix
23d0391255ad72fb342097bcbf056a9388b1b250,Bob Ippolito,2020-03-14,Per PEP 527 stop building bdist_wininst
6cbbd1859f7ff219c19f68d3063842cdd6db1885,Bob Ippolito,2019-11-17,Set version back to v3.17.0
07a67957ddb2d55e6d8994474c0e18c9c7d967a7,Bob Ippolito,2019-11-17,Bump version to v3.18.0 to work around build issues
ea425570fa750f5492bcf6560b3ce6bbda3cd264,Bob Ippolito,2019-11-17,Rotate API key again
f1b11ee7d3671ad71809fa083e08ed4bd2e48b65,Bob Ippolito,2019-11-17,Remove old API key
dadfd873c7dcada313af90e7f214ede8bbe95f37,Bob Ippolito,2019-11-17,Update travis deploy key
2e0c0e4de3cb50fe3e354c738575cdd75ec09ff3,Bob Ippolito,2019-11-17,Merge pull request #257 from simplejson/python3-doc-updates
de2192b371a752638822be5c70b5fac17ac23b4e,Bob Ippolito,2019-11-17,Finish updating docs to be Python 3-centric
77d00d27e7f3628598742be6ac0440aa31e53a35,Bob Ippolito,2019-10-22,Start transitioning docs to be Python 3 centric
2928fff79b09a9a7165ef34abd69fc2ee1ec341a,Bob Ippolito,2019-10-20,Merge pull request #256 from simplejson/python-3.8
1a2b07b552f0896800cfc968a9ec255d923e49f0,Bob Ippolito,2019-10-20,Update build matrix for Python 3.8 on Windows
edf16cb9523e7e77834a65c8de8fdee82f93bc32,Bob Ippolito,2019-10-20,Merge pull request #255 from cclauss/patch-1
14efb7d1a06ec6dce042cf2829fbd8d51bb82250,Christian Clauss,2019-10-20,Python 3.7.4 on macOS
0aa49d534bb3817d801e06776afef0e013ffb11f,Christian Clauss,2019-10-20,Python 3.7.4 on xcode11.2
a4d89f65299c8029bdf13593c155897697ce35fc,Christian Clauss,2019-10-20,Travis CI: Upgrade to Python 3.8
5fccfc1d88cc70455d013fbf13f9a49a19cd7929,Bob Ippolito,2019-04-17,Merge pull request #247 from cclauss/patch-1
36616742c40f9c111ff5e5531e0191d0a7386a59,cclauss,2019-04-17,Preserve the sort order
327051a2e6f0f0c8c7811a8e41333b6a91e0818c,cclauss,2019-04-17,pypy and pypy3 NEED Trusty
0869ac012909e93add21a4a4e21d9bb63ceb058a,cclauss,2019-04-17,Python 2.6 and 3.3 NEED Trusty
242a36be4a1ca114c5b14bd18b2ae6ceb4288e0a,cclauss,2019-04-17,Travis CI: Simplify by upgrading to dist: xenial
5043f33c1cf172af081c71e1841a1ada44a4fa92,Bob Ippolito,2019-04-17,Merge pull request #246 from cclauss/patch-1
742213b8649951ebd6121ced7126aa3b4b897ce3,cclauss,2019-04-17,.travis.yml: The 'sudo' tag is now deprecated in Travis CI
ce75e60c6c659492cc67cd628347899291723c40,Bob Ippolito,2018-09-08,require docker and sudo for xenial py3.7
